dataset,name,_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,binarized_crystalscore,binarized_crystalscore_predictions,binarized_crystalscore_prob_predictions
40,2019-06-27T12_52_20.503028+00_00_LBL_E3,0.23302842091747797,1.536543731621724,5.830979795785358,0,0,0.34233197899093976
40,2019-01-09T16_00_00.000000+00_00_LBL_F3,0.011928421587092172,0.5813991029296613,8.81122690345038,0,0,0.00015737204492326403
40,2018-06-28T22_33_43.276776+00_00_LBL_B2,0.910592029070891,2.0181047255795868,6.665790730075804,0,0,0.030263569065580476
40,2019-05-29T19_49_43.354126+00_00_LBL_E3,0.8962100461428597,1.982683155385164,8.834817872402056,0,0,1.0000000994736041e-07
40,2018-09-13T14_00_50.063786+00_00_LBL_F4,0.9647093769255752,2.455543414271473,6.576293002765441,0,0,0.294693959928052
40,2019-05-29T19_49_43.354126+00_00_LBL_C12,0.0233793925080746,0.7598699254182529,3.457102645722544,0,0,1.0000000994736041e-07
40,2018-09-13T13_27_47.616022+00_00_LBL_D7,0.8702314523427526,1.0142462180997067,7.3367400592556224,0,0,0.30430048236785495
40,2019-06-18T20_49_29.598214+00_00_LBL_E5,0.24476856650068202,0.4639371552660227,6.612887629043456,0,0,1.0000000994736041e-07
40,2019-08-02T14_45_54.346271+00_00_LBL_D9,0.5181973020817789,2.601901729274729,0.7421247012817728,0,0,1.0000000994736041e-07
40,2018-12-06T17_08_57.099365+00_00_LBL_C5,0.8077272385495431,1.6453780579280657,7.545616981150255,0,1,0.44840034991529965
40,2017-10-17T16_00_00.000000+00_00_LBL_A1,1.7772558951292232,0.8887327296816269,2.923978868802104,1,0,0.33889999100168594
40,2019-09-05T19_43_09.232228+00_00_LBL_B5,0.15458233010129935,3.0639134122944687,0.5830979795785358,0,0,1.0000000994736041e-07
40,2019-08-02T12_18_03.108790+00_00_LBL_G1,0.06432191075817116,0.353487218993606,6.533901090523987,0,0,0.0027442181170471264
40,2019-05-13T18_52_03.413380+00_00_LBL_C5,1.3078068693041958,0.6647253536965626,4.231803518713591,0,0,1.0000000994736041e-07
40,2018-09-24T15_07_31.181836+00_00_LBL_D5,0.6008720358149798,3.6119522290798174,4.779491635889637,0,0,0.0037976812804377475
40,2019-05-30T15_19_31.623252+00_00_LBL_G7,0.2088131525958691,1.5880670692246988,5.568866241845846,0,0,0.013643662843053852
40,2018-08-21T00_41_41.669916+00_00_LBL_E8,0.9901200804280726,2.73136815832791,5.258483597653703,0,0,0.31817175812027076
40,2019-03-19T18_02_18.665051+00_00_LBL_B9,1.5048328353173512,1.8815341698514256,8.250697682491175,0,1,0.45353698822426064
40,2018-07-19T17_25_57.788230+00_00_LBL_H8,0.8583664502752204,0.4775819707916068,4.787339733813923,0,0,0.373688161667271
40,2017-10-19T23_16_50.000000+00_00_LBL_E3,0.9699052502493996,1.9398058252427184,0.7719743772001797,0,0,0.006843237433021415
40,2019-04-10T15_37_43.338519+00_00_LBL_C4,1.26353334490727,0.6908194769460175,6.084997825830076,1,0,0.060571882981510214
40,2019-07-23T20_39_52.697300+00_00_LBL_C10,0.02248645041603465,3.075370107491717,2.3854008255485555,0,0,5.759972466703675e-05
40,2019-06-18T20_54_55.536969+00_00_LBL_F8,1.3702840775857643,2.3783081041014515,5.300890723441237,0,0,0.057982928014636316
40,2018-10-16T02_54_48.818135+00_00_LBL_G7,0.817046629501891,0.43067297500832735,3.966652922302964,0,0,0.07500000634023744
40,2019-03-12T15_22_17.125738+00_00_LBL_H11,1.37842341909785,2.2256405691041987,1.1655878263780917,1,0,0.0011723679202634083
40,2018-09-25T15_22_57.960032+00_00_LBL_B5,0.6248084711218943,1.3445266413530002,6.890374943320954,1,1,0.5543567280084011
40,2019-04-22T15_31_44.525963+00_00_LBL_D7,1.4531527487862492,1.816694492538544,8.834817872402056,1,1,0.5200220735304545
40,2019-06-10T22_05_20.195696+00_00_LBL_E6,1.6908791460531252,2.138063454056787,8.834817872402056,0,0,0.3384926173395554
40,2018-10-15T17_59_51.765248+00_00_LBL_E6,0.3292205500522603,0.6764446930665668,2.277347934202358,0,0,0.35734152772954425
40,2019-07-12T13_34_37.895617+00_00_LBL_A12,1.2517024957211371,0.9375347013977589,14.63599346331666,1,1,0.6709862781824973
40,2018-09-25T15_12_25.939061+00_00_LBL_B7,0.5583665086866041,1.8569127386958384,3.090625333455137,0,0,1.3378870079094096e-05
40,2019-02-19T00_39_49.082039+00_00_LBL_H5,0.04085867401995948,1.9865463272825608,8.098583049701885,0,0,4.9683534198922055e-05
40,2019-08-08T16_56_58.410591+00_00_LBL_F4,1.5014462809917355,2.2673885639769225,8.216380621333911,1,1,0.9936954796787231
40,2019-05-13T18_52_03.413380+00_00_LBL_B7,0.7673768158269331,0.4604740572810754,7.518455324078543,1,1,0.9973383072450436
40,2019-05-29T19_49_43.354126+00_00_LBL_H9,0.8086663495825471,2.0092319092956767,4.563680755280534,0,0,2.256420874141673e-07
40,2018-07-09T22_47_01.237679+00_00_LBL_E7,0.8426203854477207,0.641560573332124,4.815048038477717,1,1,0.48998165804728283
40,2018-09-13T14_00_50.063786+00_00_LBL_H2,0.5388639689414075,3.2355013903682868,6.939775577286231,0,0,0.1399133335687536
40,2019-05-13T18_52_03.413380+00_00_LBL_G9,0.6949801040710132,0.5051655253200942,4.417408936201028,0,0,3.868685547822154e-06
40,2018-08-28T18_06_47.347483+00_00_LBL_E4,0.7703980920754968,2.161625700197072,7.326122490428912,0,0,0.3923110365605539
40,2018-07-16T22_55_19.265461+00_00_LBL_F11,1.2294084478666056,0.6881140543987211,5.958365541852549,1,1,0.5872005104953264
40,2019-05-29T17_22_53.471261+00_00_LBL_G3,0.4373437519309816,2.290752453536144,8.834817872402056,0,0,0.2107013384479317
40,2019-05-30T15_13_14.483373+00_00_LBL_C2,0.8193140247150308,1.5654785331362395,3.966652922302965,0,0,4.085683621511506e-06
40,2019-04-22T22_24_16.919740+00_00_LBL_B2,0.2736980460985316,6.396671099913857,7.298327807636483,1,1,0.9999999965166724
40,2018-10-16T03_01_31.825777+00_00_LBL_A3,0.25487875670622995,0.5505856376033039,8.098583049701887,0,0,0.04358492441167251
40,2019-04-10T15_53_18.860962+00_00_LBL_C6,1.1348994598815645,1.4759057833458025,8.225520088098465,0,0,0.20599083042674315
40,2018-10-16T03_01_31.825777+00_00_LBL_E2,0.4580807273132929,1.7830231894353008,7.49121572824909,0,1,0.4837583405169643
40,2019-06-18T20_49_29.598214+00_00_LBL_E4,0.6958485731002181,3.2639890361803268,1.7492939387356072,0,0,1.0000000994736041e-07
40,2018-09-24T15_07_31.181836+00_00_LBL_H10,0.9465531299966856,2.321780427999812,5.275364764901389,0,0,0.3720964917661911
40,2019-07-12T13_34_37.895617+00_00_LBL_G8,1.607528399754597,1.185932191491518,9.70955231521414,1,0,0.38469561728849205
40,2019-06-21T14_37_13.758897+00_00_LBL_E1,1.1864398918579957,1.2172763837884957,2.8624809906582662,1,1,0.6305001565106847
