dataset,name,_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,binarized_crystalscore,binarized_crystalscore_predictions,binarized_crystalscore_prob_predictions
43,2019-05-13T12_47_03.748293+00_00_LBL_G2,0.520320047355625,0.6940493065450312,0.0,0,0,0.10102309731333085
43,2017-10-16T17_52_59.000000+00_00_LBL_B7,0.9165491842686622,0.9165197201716928,4.779491635889637,0,1,0.7786035488906459
43,2019-07-12T13_34_37.895617+00_00_LBL_B11,0.7818330034050189,0.5767866541269533,14.724696454003427,1,1,0.6775974801712432
43,2019-08-12T20_25_42.894023+00_00_LBL_D4,0.026513657510964503,1.6585946902941,6.891157940473603,0,1,0.596180414855938
43,2019-04-10T15_53_18.860962+00_00_LBL_B4,0.4157042175462909,0.5655117707560495,6.485984117805739,0,0,0.08126167338947961
43,2018-09-24T15_07_31.181836+00_00_LBL_D7,0.4842968057895,2.1488244697789742,6.852563045161773,1,0,0.45835119102883776
43,2018-06-05T20_57_54.000000+00_00_LBL_B9,0.8372200343422681,1.6739132723725785,4.779491635889637,0,1,0.6540422116270914
43,2019-10-17T19_11_12.050222+00_00_LBL_A8,0.06970216284666336,0.6369744833857914,2.443296325433835,0,0,0.0012184062949075162
43,2018-07-24T16_19_50.004700+00_00_LBL_C7,0.31422249270000296,0.4652163899370435,5.9901706317524805,0,1,0.6576232571703563
43,2019-05-30T15_19_31.623252+00_00_LBL_A4,0.6724509948629289,0.983965440074515,2.0086554497328137,0,0,0.2634756041867705
43,2019-06-19T14_53_56.517003+00_00_LBL_H7,0.4165023726830477,0.44566761011151457,14.842494025635455,0,0,0.013709932701171578
43,2018-12-06T17_08_57.099365+00_00_LBL_G8,0.05082739482385887,2.637629277042457,5.958365541852549,0,0,0.2374165402075644
43,2018-09-24T17_37_31.739860+00_00_LBL_G12,0.7437588242138502,1.1130110492675034,1.1170459378899151,1,1,0.5996943714852857
43,2017-10-20T22_59_29.000000+00_00_LBL_E7,1.7851857610386808,0.8925677719272677,3.5767255746402795,0,1,0.6582042576501603
43,2019-03-16T00_26_55.990515+00_00_LBL_A3,0.36516889932001145,1.9726214371293864,8.596039010985784,1,1,0.5068466823788144
43,2018-06-28T22_33_43.276776+00_00_LBL_F5,0.5896111461145515,1.6038706880435627,6.39485299717114,0,0,0.32798518199316473
43,2019-09-12T19_45_57.603044+00_00_LBL_H2,0.48632358601954995,0.7151411431499896,5.872244214590587,1,0,0.16087055338863443
43,2019-10-16T15_19_46.641892+00_00_LBL_C9,0.3792660411638997,0.7827120427954335,10.144991264301355,0,0,0.3739730263138383
43,2019-03-11T22_08_10.561080+00_00_LBL_A3,0.267530271692248,1.5070805933783575,8.350718262955366,0,0,0.4621815688270903
43,2018-06-26T16_01_41.558851+00_00_LBL_C7,0.5360754098970281,1.203995828998748,6.987182912341537,0,1,0.5111929040588906
43,2018-06-28T22_33_43.276776+00_00_LBL_B2,0.619834427945419,1.3541352986033048,6.665790730075804,0,0,0.35879557921547195
43,2019-03-12T15_22_17.125738+00_00_LBL_C8,0.07187307539960316,1.4348870826228048,6.1477304089065,0,0,0.4473570910630019
43,2018-08-28T17_28_06.885285+00_00_LBL_E7,0.7666402440031964,1.449011386791064,1.5002520915399715,0,0,0.30502267605273914
43,2019-03-29T20_42_17.925679+00_00_ECL_E1,0.431224971605138,0.9669716126258818,6.665790730075803,1,0,0.45369815524994184
43,2019-10-16T15_19_46.641892+00_00_LBL_G10,0.5305310168274492,0.7891972572067231,6.255051053660655,1,0,0.2477256675696495
43,2019-08-28T12_41_25.009802+00_00_LBL_F6,0.5675220394690806,0.4193226938165056,9.972500656775765,1,1,0.7597910371167123
43,2018-09-13T14_00_50.063786+00_00_LBL_D4,0.7079639944742542,1.7673187541472026,6.576293002765441,0,1,0.5495241019459839
43,2018-08-28T18_06_47.347483+00_00_LBL_H3,0.5751526105498624,1.1896577084888895,8.0729837860475,1,1,0.5875520305835372
43,2019-08-28T11_46_15.309618+00_00_LBL_A9,0.6161301141776007,1.3002484478474563,1.5966538323618171,0,0,0.26605972361006786
43,2019-10-15T18_30_50.045338+00_00_LBL_D1,0.5318138007979326,0.5738937659083617,0.8464496165175621,0,0,0.06210034390143636
43,2018-09-25T15_22_57.960032+00_00_LBL_F1,0.7205895709319953,1.7638669850677242,6.576293002765441,0,1,0.5550450208680593
43,2019-09-30T17_18_05.146721+00_00_LBL_E11,0.31785432175722234,0.2971824680616749,5.501922507364155,0,0,0.06278520936109586
43,2019-10-15T18_30_50.045338+00_00_LBL_D12,0.6409610577447158,0.7674535315533976,5.1948729089724095,0,0,0.1702322193345722
43,2018-11-04T01_21_18.950306+00_00_LBL_A10,0.6437033896134337,0.7373474390778278,7.381471209409512,0,0,0.2554249055383368
43,2018-09-25T15_12_25.939061+00_00_LBL_B10,0.5631838520989979,1.9488661013197464,3.4110079437795764,0,0,0.31656433499348025
43,2019-05-30T15_13_14.483373+00_00_LBL_C6,0.6921723026846273,0.9567697172691544,8.149568840747602,1,1,0.6470953135004287
43,2019-04-22T22_24_16.919740+00_00_LBL_A1,0.0,2.2837527881345423,4.043052246692467,0,0,0.29244501900793063
43,2019-02-21T17_06_08.308424+00_00_LBL_A6,0.3014661346647268,0.5571706237313943,7.813019472490957,0,0,0.0023799156933687333
43,2018-12-11T18_27_36.901478+00_00_LBL_G1,0.8984062279354754,1.3860940785180589,8.834817872402056,1,1,0.7455490979224111
43,2019-08-08T16_56_58.410591+00_00_LBL_G10,0.1717462086228532,1.8038269658932964,3.9756680425809248,0,0,0.1512375754529061
43,2019-10-15T18_30_50.045338+00_00_LBL_E6,0.2689522869752337,0.5648486235449646,3.9226591353465134,0,0,0.0763478225526253
43,2018-07-19T17_25_57.788230+00_00_LBL_A11,0.5772752434524216,0.7714768435907868,3.4511007314070534,0,1,0.6273434401461884
43,2018-09-13T13_27_47.616022+00_00_LBL_G9,0.6614292218257172,1.3050439861367025,5.610737416596566,0,0,0.47859652736829955
43,2019-02-21T16_43_20.274786+00_00_LBL_E5,0.1841567124891281,2.3768503535664127,7.2424960465621515,1,1,0.5335100187629076
43,2019-08-28T11_46_15.309618+00_00_LBL_H9,0.0,2.3047830611038242,4.478883812052732,0,0,0.1751496451761669
43,2019-09-24T15_41_07.555823+00_00_LBL_B11,0.06189912593918932,0.8931718942702195,5.7779708885509455,0,0,0.20074434792098877
43,2019-02-21T16_54_38.714239+00_00_LBL_A3,0.18972871147667567,1.2043405160403435,8.834817872402056,0,1,0.5378585352346229
43,2017-10-17T16_00_00.000000+00_00_LBL_G10,0.8806883259193674,1.7781744785196592,3.5767255746402795,1,1,0.8312695477642918
43,2019-09-05T19_43_09.232228+00_00_LBL_H4,0.054856787643005125,1.5200099451159703,6.771596932140497,0,0,0.2694095997171732
